"icono","Año","Región agrícola","Municipio","Barrio","Cultivo","Nombre cientifíco","Unidad de producción","Producción","Producción en libras","Producción en kilogramos","Cuerdas sembradas","Hectáreas sembradas","Pies cuadrados sembrados","Cuerdas cosechadas","Hectáreas cosechadas","Pies cuadrados cosechados","USDA plant database"
"","2015","San Germán","Guánica","Ciénaga","Ají dulce","Capsicum chinense","Quintal","1,030","103,000.00","46,719.97","15.00","5.90","634,596.40","13.00","5.11","549,983.55","USDA plant database"
"","2016","San Germán","Guánica","Ciénaga","Ají dulce","Capsicum chinense","Quintal","1,230","123,000.00","55,791.81","17.00","6.69","719,209.25","17.00","6.69","719,209.25","USDA plant database"
"","2016","Mayagüez","Isabela","Galateo Alto","Ají dulce","Capsicum chinense","Quintal","480","48,000.00","21,772.42","5.00","1.96","211,532.14","5.00","1.96","211,532.14","USDA plant database"
"","2013","San Germán","Guánica","Susúa Baja","Ají dulce","Capsicum chinense","Quintal","231","23,100.00","10,477.98","4.00","1.57","169,225.71","4.00","1.57","169,225.71","USDA plant database"
"","2014","San Germán","Guánica","Susúa Baja","Ají dulce","Capsicum chinense","Quintal","521","52,100.00","23,632.14","6.30","2.48","266,530.49","6.30","2.48","266,530.49","USDA plant database"
"","2015","San Germán","Guánica","Susúa Baja","Ají dulce","Capsicum chinense","Quintal","170","17,077.00","7,745.99","4.25","1.68","179,802.31","4.25","1.68","179,802.31","USDA plant database"
"","2016","San Germán","Guánica","Susúa Baja","Ají dulce","Capsicum chinense","Quintal","207","20,785.00","9,427.91","3.00","1.18","126,919.28","3.00","1.18","126,919.28","USDA plant database"
"","2015","San Germán","Guánica","Susúa Baja","Brécol","Brassica oleracea","Quintal","3","300.00","136.08","0.90","0.35","38,075.78","0.90","0.35","38,075.78","USDA plant database"
"","2016","San Germán","Guánica","Susúa Baja","Brécol","Brassica oleracea","Quintal","19","1,991.00","903.10","2.00","0.79","84,612.85","2.00","0.79","84,612.85","USDA plant database"
"","2016","Caguas","Guayama","Caimital","Ají dulce - en bancos","Capsicum chinense","Quintal","150","15,000.00","6,803.88","0.38","0.15","16,000.00","0.38","0.15","16,000.00","USDA plant database"
"","2015","Utuado","Jayuya","Mameyes Arriba","Achachairú","Garcinia spp.","Quintal","50","5,000.00","2,267.96","10.00","3.93","423,064.26","0.50","0.20","21,153.21","USDA plant database"
"","2015","Mayagüez","Moca","Voladoras","Ají dulce","Capsicum chinense","Quintal","30","3,000.00","1,360.78","0.30","0.12","12,691.93","0.30","0.12","12,691.93","USDA plant database"
"","2014","San Germán","Guayanilla","Boca","Ají dulce","Capsicum chinense","Quintal","200","20,000.00","9,071.84","4.00","1.57","169,225.71","4.00","1.57","169,225.71","USDA plant database"
"","2015","San Germán","Guayanilla","Boca","Ají dulce","Capsicum chinense","Quintal","200","20,000.00","9,071.84","2.00","0.79","84,612.85","2.00","0.79","84,612.85","USDA plant database"
"","2015","San Germán","Guayanilla","Llano","Ají dulce","Capsicum chinense","Quintal","10","1,045.00","474.00","0.50","0.20","21,153.21","0.50","0.20","21,153.21","USDA plant database"
"","2016","San Germán","Guayanilla","Llano","Ají dulce","Capsicum chinense","Quintal","9","907.00","411.41","0.50","0.20","21,153.21","0.50","0.20","21,153.21","USDA plant database"
"","2014","San Germán","Guayanilla","Magas","Ají dulce","Capsicum chinense","Quintal","48","4,800.00","2,177.24","1.25","0.49","52,883.03","1.25","0.49","52,883.03","USDA plant database"
"","2015","San Germán","Guayanilla","Magas","Ají dulce","Capsicum chinense","Quintal","50","5,000.00","2,267.96","2.00","0.79","84,612.85","1.00","0.39","42,306.43","USDA plant database"
"","2016","San Germán","Guayanilla","Magas","Ají dulce","Capsicum chinense","Quintal","240","24,000.00","10,886.21","1.00","0.39","42,306.43","1.00","0.39","42,306.43","USDA plant database"
"","2014","San Germán","Guayanilla","Quebradas","Ají dulce","Capsicum chinense","Quintal","2","200.00","90.72","0.50","0.20","21,153.21","0.50","0.20","21,153.21","USDA plant database"
"","2014","San Germán","Guayanilla","Quebradas","Brécol","Brassica oleracea","Quintal","100","10,000.00","4,535.92","0.01","0.00","423.06","0.01","0.00","423.06","USDA plant database"
"","2022","2","Arecibo","Miraflores","Vaquerías","","","","","","","","","","","","No aparece en la base de datos del USDA' target='_blank'>No aparece en la base de datos del USDA"
"","2022","2","Camuy","Zanja","Vaquerías","","","","","","","","","","","","No aparece en la base de datos del USDA' target='_blank'>No aparece en la base de datos del USDA"
"","2015","San Germán","Guayanilla","Sierra Baja","Ají dulce","Capsicum chinense","Quintal","15","1,500.00","680.39","2.00","0.79","84,612.85","1.00","0.39","42,306.43","USDA plant database"
"","2016","San Germán","Guayanilla","Sierra Baja","Brécol","Brassica oleracea","Quintal","107","10,700.00","4,853.43","3.60","1.41","152,303.14","3.60","1.41","152,303.14","USDA plant database"
"","2013","Caguas","Gurabo","Masa","Ají dulce","Capsicum chinense","Quintal","15","1,500.00","680.39","1.00","0.39","42,306.43","1.00","0.39","42,306.43","USDA plant database"
"","2014","Caguas","Gurabo","Masa","Ají dulce","Capsicum chinense","Quintal","15","1,500.00","680.39","1.00","0.39","42,306.43","1.00","0.39","42,306.43","USDA plant database"
"","2013","Caguas","Gurabo","Rincón","Ají dulce","Capsicum chinense","Quintal","75","7,500.00","3,401.94","0.75","0.29","31,729.82","0.75","0.29","31,729.82","USDA plant database"
"","2014","Caguas","Gurabo","Rincón","Ají dulce","Capsicum chinense","Quintal","50","5,000.00","2,267.96","0.50","0.20","21,153.21","0.50","0.20","21,153.21","USDA plant database"
"","2015","Caguas","Gurabo","Rincón","Ají dulce","Capsicum chinense","Quintal","10","1,070.00","485.34","0.50","0.20","21,153.21","0.50","0.20","21,153.21","USDA plant database"
"","2016","Caguas","Gurabo","Rincón","Ají dulce","Capsicum chinense","Quintal","720","72,000.00","32,658.62","5.00","1.97","211,532.13","5.00","1.97","211,532.13","USDA plant database"
"","2013","Arecibo","Hatillo","Aibonito","Ají dulce","Capsicum chinense","Quintal","99","9,900.00","4,490.56","7.50","2.95","317,298.20","4.95","1.95","209,416.81","USDA plant database"
"","2014","Arecibo","Hatillo","Aibonito","Ají dulce","Capsicum chinense","Quintal","99","9,900.00","4,490.56","7.00","2.75","296,144.98","4.95","1.95","209,416.81","USDA plant database"
"","2015","Arecibo","Hatillo","Aibonito","Ají dulce","Capsicum chinense","Quintal","","","","7.00","2.73","296,145.01","6.00","2.35","253,838.57","USDA plant database"
"","2016","Arecibo","Hatillo","Aibonito","Ají dulce","Capsicum chinense","Quintal","","","","7.10","2.78","300,375.64","5.75","2.25","243,261.96","USDA plant database"
"","2013","Arecibo","Hatillo","Bayaney","Ají dulce","Capsicum chinense","Quintal","40","4,000.00","1,814.37","2.50","0.98","105,766.07","1.50","0.59","63,459.64","USDA plant database"
"","2014","Arecibo","Hatillo","Bayaney","Ají dulce","Capsicum chinense","Quintal","80","8,000.00","3,628.74","2.00","0.79","84,612.85","2.00","0.79","84,612.85","USDA plant database"
"","2015","Arecibo","Hatillo","Bayaney","Ají dulce","Capsicum chinense","Quintal","6","600.00","272.16","1.50","0.59","63,459.64","1.25","0.49","52,883.04","USDA plant database"
"","2016","Arecibo","Hatillo","Bayaney","Ají dulce","Capsicum chinense","Quintal","7","700.00","317.52","1.25","0.49","52,883.04","1.25","0.49","52,883.04","USDA plant database"
"","2013","Arecibo","Hatillo","Capáez","Ají dulce","Capsicum chinense","Quintal","0","0.00","0.00","4.08","1.60","172,610.22","0.00","0.00","0.00","USDA plant database"
"","2014","Arecibo","Hatillo","Capáez","Ají dulce","Capsicum chinense","Quintal","130","13,000.00","5,896.70","4.08","1.60","172,610.22","4.08","1.60","172,610.22","USDA plant database"
